"Front";"Back"
"<h2>3.6-7 Why can't the mithyaachari practice self-observation?</h2>";"<p>Looking inward is like opening a bandage on a wound — it hurts too much. The mithyaachari's inner state is so ugly that they dare not look. They can think about any worldly subject, but never about themselves. The sadaachari, through love of atma, gains the gift of looking at both world and self simultaneously — that is true witnessing (saakshi).</p>"
"<h2>3.3-5 Why is the sleeping driver's occasional success dangerous?</h2>";"<p>An unconscious person sometimes gets good results by coincidence (like a sleeping driver on a straight road). This rare success convinces them their approach works, so they sleep deeper. The 1-in-10 ratio of joy to suffering reflects a life run on coincidence, not consciousness.</p>"
"<h2>3.12 What does ""nirlep"" mean and why is it the sign of the wise?</h2>";"<p>Lep comes from the same root as lipta (smeared, stuck). <strong>Nirlep = non-stick — one on whom nothing clings.</strong> ""Dariya mein bhije nahi, dikhe dariya maahi"" — standing in the river but not getting wet. The sthit-pragya neither pursues nor avoids: joy comes, it's experienced; pain comes, it's experienced. No invitation, no rejection. The one who doesn't know themselves clings to everything like a donkey carrying sand or jewels equally — not knowing the difference, because they don't know themselves.</p>"
"<h2>3.10 How does atma-avalokan stop sakaamta?</h2>";"<p>Look inward and see: there are <strong>two ""I""s</strong> speaking. One says ""I want to listen, to learn"" — that is the atma-aligned I. The other says ""I want to lie down, to eat, to escape"" — that is the prakriti-I. Both say ""main"" (I). When you observe the source of desire and recognize ""that is not me,"" you stop running after its kaamna. The GOAT question: which ""I"" is speaking — the bakri (goat) or the Greatest Of All Time?</p>"
"<h2>3.1 How does the knower relate to right action?</h2>";"<p>The knower doesn't <em>do</em> right action — they stop obstructing it. Right action is self-arising (like rain from clouds). The ego's only contribution is interference. ""Get out of your own way.""</p>"
"<h2>3.3-5 When hurt, what separates a human response from an animal response?</h2>";"<p><strong>Animal instinct:</strong> Look outward — ""Who did this to me?"" All senses rush toward the source of pain.<br><br><strong>Human response:</strong> Look inward — ""Who am I that I got hurt? What was so weak inside that a wound could land?""</p>"
"<h2>3.13 Why does everything you encounter deserve the curiosity you'd give a stranger?</h2>";"<p>You don't know yourself — so you certainly don't know anything outside yourself. Every object, person, situation is genuinely <strong>unknown.</strong> But the mind treats everything as familiar and immediately tries to consume it — like a child putting everything in its mouth. The antidote: meet everything as new. ""Yeh kya hai? Tum kaun ho?"" Wake up, look in the mirror, and ask: ""Where did you come from?"" This jaagrit utsukta (awakened curiosity) is what transforms bhog into bodh.</p>"
"<h2>3.11 What is the real meaning of yagya in the inner world?</h2>";"<p>Within you exist both: one who rises toward truth and one who clings to darkness. One wants to meditate, the other resists. One wants to love, the other calculates. <strong>This is the real Mahabharata.</strong> Yagya means: strengthen your inner dev (the light-seeking impulse) by withdrawing resources — time, energy, attention — from your inner danav (the darkness-clinging impulse). Feed the friend within; starve the enemy within. Amrit Bindu Upanishad: ""Mukti bhi tum ho, bandhan bhi tum ho.""</p>"
"<h2>3.6-7 How does the sadaachari achieve freedom?</h2>";"<p>One right decision: surrender the right to choose to the atma. After that, no more decisions are needed. Like a car towed by a massive chain — once bound to the infinite, all petty bindings become unnecessary. The absence of petty bindings IS sahajta (spontaneity).</p>"
"<h2>3.8 What is dharm yuddh really about?</h2>";"<p>""The fight to save your soul."" Not land, power, or fame. The world attacks your essence — not just externally but at your very core. You didn't start this fight, but you must end it. Any ""battle"" fought for lesser purposes is like swatting mosquitoes while someone aims a Kalashnikov at you.</p>"
"<h2>3.3-5 Why is nishkarm (actionlessness) impossible but nishkaam (desirelessness) possible?</h2>";"<p>Action operates at four levels: atma → vritti → vichar → karm. Even stopping physical action and thought leaves vritti (seed tendencies) intact. True freedom is only at the atma level — action still continues there, but desire doesn't. The goal was never zero action; it was zero kaamna.</p>"
"<h2>front</h2>";"<p>back</p>"
